sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-high-school-macroeconomics.val.127,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
mmlu-formal-logic.val.82,meta/code-llama-instruct-34b-chat,D,claude-instant-v1
hellaswag.val.7968,claude-v1,meta/llama-2-70b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.4037,claude-v1,claude-v1,WizardLM/WizardLM-13B-V1.2
mmlu-global-facts.val.6,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.1409,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-high-school-microeconomics.val.133,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3926,claude-v2,claude-v2,WizardLM/WizardLM-13B-V1.2
mmlu-moral-scenarios.val.389,claude-v1,"B) Not wrong, Wrong",WizardLM/WizardLM-13B-V1.2
hellaswag.val.3378,claude-v1,claude-v1,zero-one-ai/Yi-34B-Chat
winogrande.dev.647,claude-v1,claude-v1,WizardLM/WizardLM-13B-V1.2
mmlu-security-studies.val.180,gpt-4-1106-preview,B) All of these options.,mistralai/mixtral-8x7b-chat
arc-challenge.test.959,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.558,gpt-4-1106-preview,gpt-4-1106-preview,gpt-4-1106-preview
mmlu-high-school-psychology.val.109,gpt-4-1106-preview,D) Mania,mistralai/mixtral-8x7b-chat
grade-school-math.dev.5826,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-high-school-psychology.val.206,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.763,claude-v1,C) overrule the objection on the grounds that the former girlfriend qualifies as an authenticating witness.,WizardLM/WizardLM-13B-V1.2
hellaswag.val.6880,claude-v1,A),zero-one-ai/Yi-34B-Chat
hellaswag.val.6222,claude-v1,claude-v1,zero-one-ai/Yi-34B-Chat
mmlu-high-school-microeconomics.val.49,WizardLM/WizardLM-13B-V1.2,A),mistralai/mistral-7b-chat
arc-challenge.test.59,WizardLM/WizardLM-13B-V1.2,A) NaCl + H_{2}O,mistralai/mistral-7b-chat
mmlu-high-school-psychology.val.532,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-electrical-engineering.val.72,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
arc-challenge.val.125,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-psychology.val.581,meta/llama-2-70b-chat,meta/llama-2-70b-chat,claude-instant-v1
hellaswag.val.9534,claude-v1,C) meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-human-aging.val.140,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3972,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.1172,meta/llama-2-70b-chat,B) Interstate travel,claude-instant-v1
grade-school-math.dev.1844,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.2702,claude-v1,claude-v1,mistralai/mistral-7b-chat
grade-school-math.dev.6893,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.2730,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.4709,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-elementary-mathematics.val.360,claude-v2,claude-v1,mistralai/mistral-7b-chat
mmlu-human-sexuality.val.63,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-college-medicine.val.154,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mistral-7b-chat
grade-school-math.dev.6302,meta/llama-2-70b-chat,meta/llama-2-70b-chat,meta/llama-2-70b-chat
grade-school-math.dev.2020,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-high-school-world-history.val.163,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-econometrics.val.76,meta/llama-2-70b-chat,B) (ii) and (iv) only,WizardLM/WizardLM-13B-V1.2
consensus_summary.dev.13,gpt-4-1106-preview,gpt-4-1106-preview,claude-v1
hellaswag.val.10012,claude-v1,"A) title: Present the soccer ball to your child on a special day, maybe their birthday. [step] This will help your child to associate it with a fun occasion, seeing it as a gift and an opportunity to learn something",mistralai/mistral-7b-chat
arc-challenge.val.282,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.93,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
mmlu-world-religions.val.11,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
winogrande.dev.742,claude-v1,A) Samuel,mistralai/mistral-7b-chat
mmlu-electrical-engineering.val.135,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,zero-one-ai/Yi-34B-Chat
mmlu-elementary-mathematics.val.233,gpt-4-1106-preview,gpt-4-1106-preview,no_model_correct
mmlu-world-religions.val.44,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
consensus_summary.dev.292,meta/llama-2-70b-chat,meta/llama-2-70b-chat,claude-instant-v1
mmlu-clinical-knowledge.val.142,meta/llama-2-70b-chat,D) calcium binding to troponin,mistralai/mixtral-8x7b-chat
mmlu-high-school-geography.val.73,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.5893,claude-v1,claude-v1,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.1110,WizardLM/WizardLM-13B-V1.2,"A) The statement should be allowed, because the driver was not in custody for Miranda purposes when the admission was made.",no_model_correct
mmlu-business-ethics.val.77,meta/llama-2-70b-chat,meta/llama-2-70b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-accounting.val.138,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
grade-school-math.dev.4374,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1169,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.278,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
mmlu-high-school-psychology.val.475,claude-v1,B) DSM-5,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.62,meta/llama-2-70b-chat,"meta/llama-2-70b-chat

Reasoning: The sentence provided is a direct quote from a political figure (Biden) at a campaign rally, which is a factual statement about an event that occurred",mistralai/mixtral-8x7b-chat
arc-challenge.test.667,claude-v1,claude-v1,mistralai/mistral-7b-chat
accounting_audit.dev.6,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
hellaswag.val.7030,claude-v1,claude-v1,zero-one-ai/Yi-34B-Chat
hellaswag.val.8370,claude-v1,claude-v1,mistralai/mistral-7b-chat
mmlu-international-law.val.119,meta/llama-2-70b-chat,B) Implied are those powers which are necessary in order for an organisation to carry out the tasks conferred upon it and which are not stipulated in its charter,WizardLM/WizardLM-13B-V1.2
