sample_id,phi_prediction,phi_response,oracle_model_to_route
hellaswag.val.4102,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
winogrande.dev.802,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.5482,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.1256,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,claude-v2
mmlu-elementary-mathematics.val.47,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-moral-disputes.val.343,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.5407,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,gpt-3.5-turbo-1106
grade-school-math.dev.2924,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mistral-7b-chat
mmlu-high-school-geography.val.86,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
winogrande.dev.486,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.7113,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.1433,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
arc-challenge.test.264,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.6367,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
mmlu-professional-psychology.val.109,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
chinese-lantern-riddles.dev.12,mistralai/mistral-7b-chat,"mistralai/mistral-7b-chat

This prompt requires understanding Chinese characters, idioms, and their meanings. The model mistralai/mistral-7b-chat is specifically designed for Chinese language",no_model_correct
grade-school-math.dev.6467,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
hellaswag.val.553,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
consensus_summary.dev.189,meta/llama-2-70b-chat,N-A (None of the provided models specifically address the question about the impact of family environment on cardiovascular fitness based on the given claims.),WizardLM/WizardLM-13B-V1.2
mmlu-philosophy.val.105,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,claude-instant-v1
grade-school-math.dev.6500,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,meta/code-llama-instruct-34b-chat
grade-school-math.dev.1491,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
chinese_zodiac.dev.45,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
mmlu-medical-genetics.val.52,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
arc-challenge.test.567,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.768,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,no_model_correct
mmlu-professional-law.val.1104,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.2487,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
winogrande.dev.543,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
winogrande.dev.1173,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-accounting.val.137,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-high-school-us-history.val.120,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mixtral-8x7b-chat
hellaswag.val.293,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-college-medicine.val.83,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.58,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
grade-school-math.dev.4117,meta/llama-2-70b-chat,meta/llama-2-70b-chat,gpt-3.5-turbo-1106
mmlu-astronomy.val.85,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
consensus_summary.dev.282,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
grade-school-math.dev.2701,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.4976,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
mmlu-us-foreign-policy.val.58,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1359,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
mmlu-sociology.val.78,mistralai/mistral-7b-chat,D) Scapegoating,mistralai/mistral-7b-chat
mmlu-moral-scenarios.val.208,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
grade-school-math.dev.5044,meta/llama-2-70b-chat,meta/llama-2-70b-chat,mistralai/mistral-7b-chat
grade-school-math.dev.6302,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,meta/llama-2-70b-chat
mmlu-high-school-biology.val.65,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.470,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.4538,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
arc-challenge.test.1078,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mixtral-8x7b-chat
