sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-international-law.val.89,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.4617,meta/code-llama-instruct-34b-chat,C) Resist the urge to interrupt what they're saying. [substeps] Let them get their entire message across before giving your response.,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.5357,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
hellaswag.val.2731,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,gpt-4-1106-preview,D,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.570,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-professional-law.val.485,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
hellaswag.val.2850,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.54,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.265,gpt-4-1106-preview,"gpt-4-1106-preview

Reasoning: The sentence provided is a direct quote from a person, Marat Gabidullin, expressing his doubt about the group's existence without Prigozhin",no_model_correct
consensus_summary.dev.5,gpt-4-1106-preview,gpt-4-1106-preview,claude-v1
hellaswag.val.3051,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
hellaswag.val.5313,meta/code-llama-instruct-34b-chat,"C) [substeps] Look for one at local hardware stores, department stores, or online. [substeps] For instance, the jobsite boot scrubber brush mat, available online for approximately $17, is a door mat",WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.737,gpt-4-1106-preview,B) Balderdash,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3702,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.6662,WizardLM/WizardLM-13B-V1.2,A) Spray the solution all over your tub and scrub with a long handled bathtub cleaning tool which you can buy almost anywhere cleaning supplies are sold. Here are some other items you might want to help you clean.,mistralai/mistral-7b-chat
grade-school-math.dev.5353,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat
grade-school-math.dev.7313,gpt-4-1106-preview,gpt-4-1106-preview,meta/code-llama-instruct-34b-chat
mmlu-high-school-biology.val.90,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.73,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-business-ethics.val.77,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.7889,mistralai/mixtral-8x7b-chat,"C) [step] Take a clean saucepan and fill the saucepan with room temperature water to at least half of the pan. [title] Place the saucepan on the stove.

The correct model to route this",zero-one-ai/Yi-34B-Chat
grade-school-math.dev.715,meta/code-llama-instruct-34b-chat,gpt-4-1106-preview,mistralai/mistral-7b-chat
mmlu-jurisprudence.val.67,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
hellaswag.val.2580,gpt-4-1106-preview,mistralai/mistral-7b-chat,gpt-4-1106-preview
grade-school-math.dev.5091,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mistral-7b-chat
grade-school-math.dev.7398,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8841,meta/code-llama-instruct-34b-chat,"B) Avoid placing uncomfortable or overly thick blankets on the floor or the table during the massage, however. If the person will be sitting for the entire massage, make sure a low table, such as a chair",zero-one-ai/Yi-34B-Chat
mmlu-college-mathematics.val.52,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1513,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,no_model_correct
hellaswag.val.6403,gpt-4-1106-preview,D,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.1515,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8810,mistralai/mistral-7b-chat,A,mistralai/mistral-7b-chat
mmlu-professional-law.val.1365,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
hellaswag.val.9743,gpt-4-1106-preview,A) Begin by identifying the reason you don't have a job or why you don't make enough to pay child support : [substeps] Medical illness disability layoff imprisonment other reason [title] Get medical records.,mistralai/mistral-7b-chat
hellaswag.val.4227,mistralai/mistral-7b-chat,"D) [substeps] Don't hesitate, scribble everything down. Even though in normal classes, you are told to write down the important facts, there is much more to history than meets the eye and those small facts may come",zero-one-ai/Yi-34B-Chat
grade-school-math.dev.3650,gpt-4-1106-preview,gpt-4-1106-preview,meta/llama-2-70b-chat
grade-school-math.dev.7183,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.2573,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.1662,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.235,gpt-4-1106-preview,"D) through a human body

The correct model to route this prompt to, based on the information provided, would be the one with the highest correctness score for this specific question. Since the question is factual and the correct answer is well",WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.2161,gpt-4-1106-preview,gpt-4-1106-preview,claude-instant-v1
hellaswag.val.5410,gpt-4-1106-preview,"A) Bubble bars are luxurious, and not worth a quick, five minute bath. Save them for when you have time to take a longer bath and relax.

The correct model to choose is ""A"" because it directly addresses",mistralai/mistral-7b-chat
hellaswag.val.551,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mixtral-8x7b-chat
mmlu-high-school-geography.val.58,gpt-4-1106-preview,gpt-4-1106-preview,WizardLM/WizardLM-13B-V1.2
mmlu-professional-law.val.1203,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
hellaswag.val.867,gpt-4-1106-preview,gpt-4-1106-preview,zero-one-ai/Yi-34B-Chat
winogrande.dev.569,gpt-4-1106-preview,gpt-4-1106-preview,mistralai/mistral-7b-chat
