sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
arc-challenge.test.635,mistralai/mixtral-8x7b-chat,0.0,5.4e-05,0.0,1.8e-05,1.0,2.7e-05,0.0,5.4e-05,0.0,6.984e-05,1.0,0.00094
arc-challenge.test.250,mistralai/mixtral-8x7b-chat,1.0,3.9e-05,1.0,1.3e-05,1.0,1.95e-05,1.0,3.9e-05,0.0,5.044e-05,1.0,0.00069
arc-challenge.test.472,mistralai/mixtral-8x7b-chat,1.0,3.3e-05,0.0,1.1e-05,1.0,1.65e-05,1.0,3.3e-05,0.0,4.2680000000000005e-05,1.0,0.00056
arc-challenge.test.54,mistralai/mixtral-8x7b-chat,1.0,9.06e-05,1.0,3.02e-05,0.0,4.53e-05,1.0,9.06e-05,1.0,0.000117176,1.0,0.00152
arc-challenge.test.534,mistralai/mixtral-8x7b-chat,1.0,0.0001086,0.0,3.6200000000000006e-05,1.0,5.43e-05,1.0,0.0001086,0.0,0.0001404559999999,1.0,0.00182
arc-challenge.test.1160,mistralai/mixtral-8x7b-chat,1.0,4.5e-05,0.0,1.5e-05,1.0,2.25e-05,1.0,4.5e-05,1.0,5.8200000000000005e-05,1.0,0.0007599999999999
arc-challenge.val.113,mistralai/mixtral-8x7b-chat,1.0,4.14e-05,1.0,1.38e-05,1.0,2.07e-05,1.0,4.14e-05,1.0,5.354400000000001e-05,1.0,0.00073
arc-challenge.val.190,mistralai/mixtral-8x7b-chat,1.0,5.64e-05,0.0,1.8800000000000003e-05,1.0,2.82e-05,1.0,5.64e-05,1.0,7.2944e-05,1.0,0.00095
arc-challenge.test.530,mistralai/mixtral-8x7b-chat,0.0,4.56e-05,0.0,1.52e-05,0.0,2.28e-05,0.0,4.56e-05,0.0,5.8976e-05,1.0,0.0008
arc-challenge.val.97,mistralai/mixtral-8x7b-chat,1.0,4.8e-05,0.0,1.6000000000000003e-05,0.0,2.4e-05,1.0,4.8e-05,0.0,6.208e-05,1.0,0.00081
arc-challenge.test.264,mistralai/mixtral-8x7b-chat,0.0,4.8e-05,0.0,1.6000000000000003e-05,0.0,2.4e-05,0.0,4.8e-05,0.0,6.208e-05,1.0,0.00081
arc-challenge.val.207,mistralai/mixtral-8x7b-chat,1.0,4.32e-05,1.0,1.44e-05,1.0,2.16e-05,1.0,4.32e-05,0.0,5.5872e-05,1.0,0.00073
arc-challenge.test.602,gpt-4-1106-preview,1.0,0.00089,0.0,1.7599999999999998e-05,0.0,2.64e-05,1.0,5.28e-05,0.0,6.828800000000001e-05,1.0,0.00089
arc-challenge.test.367,mistralai/mixtral-8x7b-chat,1.0,4.38e-05,1.0,1.46e-05,1.0,2.19e-05,1.0,4.38e-05,1.0,5.6648e-05,0.0,0.00074
arc-challenge.test.567,mistralai/mixtral-8x7b-chat,1.0,5.04e-05,0.0,1.6800000000000002e-05,1.0,2.52e-05,1.0,5.04e-05,0.0,6.5184e-05,1.0,0.00085
arc-challenge.test.694,mistralai/mixtral-8x7b-chat,0.0,4.98e-05,0.0,1.66e-05,0.0,2.49e-05,0.0,4.98e-05,0.0,6.4408e-05,1.0,0.00087
arc-challenge.test.843,mistralai/mixtral-8x7b-chat,1.0,3.66e-05,1.0,1.22e-05,1.0,1.83e-05,1.0,3.66e-05,1.0,4.7336e-05,1.0,0.00062
arc-challenge.test.181,mistralai/mixtral-8x7b-chat,1.0,5.94e-05,1.0,1.98e-05,1.0,2.97e-05,1.0,5.94e-05,0.0,7.682400000000001e-05,1.0,0.001
arc-challenge.test.818,mistralai/mixtral-8x7b-chat,1.0,4.38e-05,0.0,1.46e-05,1.0,2.19e-05,1.0,4.38e-05,1.0,5.6648e-05,1.0,0.00074
arc-challenge.test.1022,mistralai/mixtral-8x7b-chat,1.0,6.840000000000001e-05,1.0,2.28e-05,1.0,3.4200000000000005e-05,1.0,6.840000000000001e-05,0.0,8.846400000000001e-05,1.0,0.00115
arc-challenge.test.513,mistralai/mixtral-8x7b-chat,1.0,3.84e-05,0.0,1.28e-05,0.0,1.92e-05,1.0,3.84e-05,0.0,4.9664e-05,1.0,0.00068
arc-challenge.test.245,mistralai/mixtral-8x7b-chat,1.0,4.08e-05,1.0,1.36e-05,0.0,2.04e-05,1.0,4.08e-05,0.0,5.2768e-05,1.0,0.00072
arc-challenge.test.384,mistralai/mixtral-8x7b-chat,1.0,5.94e-05,1.0,1.98e-05,1.0,2.97e-05,1.0,5.94e-05,1.0,7.682400000000001e-05,1.0,0.001
arc-challenge.test.735,mistralai/mixtral-8x7b-chat,0.0,3.9e-05,0.0,1.3e-05,0.0,1.95e-05,0.0,3.9e-05,0.0,5.044e-05,1.0,0.00066
arc-challenge.test.1007,mistralai/mixtral-8x7b-chat,1.0,4.2e-05,1.0,1.4e-05,1.0,2.1e-05,1.0,4.2e-05,1.0,5.432e-05,1.0,0.00071
arc-challenge.test.115,mistralai/mixtral-8x7b-chat,1.0,4.44e-05,0.0,1.48e-05,1.0,2.22e-05,1.0,4.44e-05,0.0,5.7424e-05,1.0,0.00078
arc-challenge.test.651,mistralai/mixtral-8x7b-chat,1.0,4.92e-05,0.0,1.64e-05,1.0,2.46e-05,1.0,4.92e-05,0.0,6.3632e-05,1.0,0.00083
arc-challenge.test.619,mistralai/mixtral-8x7b-chat,1.0,5.04e-05,1.0,1.6800000000000002e-05,0.0,2.52e-05,1.0,5.04e-05,0.0,6.5184e-05,1.0,0.00088
arc-challenge.val.35,mistralai/mixtral-8x7b-chat,1.0,3.24e-05,1.0,1.08e-05,1.0,1.62e-05,1.0,3.24e-05,1.0,4.1904e-05,1.0,0.0005499999999999
arc-challenge.val.286,mistralai/mixtral-8x7b-chat,1.0,5.04e-05,0.0,1.6800000000000002e-05,1.0,2.52e-05,1.0,5.04e-05,0.0,6.5184e-05,1.0,0.00085
arc-challenge.test.1013,mistralai/mixtral-8x7b-chat,1.0,7.379999999999999e-05,0.0,2.46e-05,1.0,3.69e-05,1.0,7.379999999999999e-05,0.0,9.5448e-05,1.0,0.00124
arc-challenge.val.229,mistralai/mixtral-8x7b-chat,1.0,5.34e-05,1.0,1.7800000000000002e-05,0.0,2.67e-05,1.0,5.34e-05,0.0,6.9064e-05,0.0,0.0009
arc-challenge.test.837,mistralai/mixtral-8x7b-chat,1.0,6.840000000000001e-05,1.0,2.28e-05,0.0,3.4200000000000005e-05,1.0,6.840000000000001e-05,1.0,8.846400000000001e-05,1.0,0.00115
arc-challenge.test.989,mistralai/mixtral-8x7b-chat,1.0,5.16e-05,1.0,1.72e-05,1.0,2.58e-05,1.0,5.16e-05,1.0,6.673599999999999e-05,1.0,0.0009
