sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
grade-school-math.dev.5357,WizardLM/WizardLM-13B-V1.2,0.25,0.0001317,0.25,8.68e-05,0.25,0.0001317,0.25,0.0002526,0.5,0.00030652,0.5,0.00626
grade-school-math.dev.3702,meta/code-llama-instruct-34b-chat,0.25,0.000415936,0.25,0.0001055999999999,0.25,0.0001869,0.25,0.0003072,0.25,0.000415936,0.5,0.0102
grade-school-math.dev.5353,mistralai/mistral-7b-chat,0.25,8.78e-05,0.25,8.78e-05,0.25,0.0001311,0.25,0.0002286,0.75,0.000294104,0.75,0.00763
grade-school-math.dev.7313,mistralai/mistral-7b-chat,0.25,8.280000000000001e-05,0.25,8.280000000000001e-05,0.25,0.0001539,0.25,0.0002838,0.75,0.0002669439999999,0.75,0.00835
grade-school-math.dev.715,mistralai/mistral-7b-chat,0.75,8.94e-05,0.75,8.94e-05,0.75,0.0001578,0.75,0.0002808,0.25,0.000284792,0.75,0.00757
grade-school-math.dev.5091,WizardLM/WizardLM-13B-V1.2,0.5,0.0001844999999999,0.75,0.0001016,0.5,0.0001844999999999,0.25,0.0003012,0.25,0.000383344,0.75,0.01166
grade-school-math.dev.7398,mistralai/mistral-7b-chat,0.25,8.340000000000001e-05,0.25,8.340000000000001e-05,0.75,0.0001656,0.75,0.0002418,0.25,0.000312728,0.75,0.00753
grade-school-math.dev.1515,mistralai/mistral-7b-chat,0.5,6.900000000000001e-05,0.5,6.900000000000001e-05,0.75,0.0001293,0.25,0.0002021999999999,0.75,0.000250648,0.75,0.00579
grade-school-math.dev.3650,WizardLM/WizardLM-13B-V1.2,0.25,0.0001416,0.25,6.2e-05,0.25,0.0001416,0.5,0.0002694,0.5,0.000351528,0.75,0.0083
grade-school-math.dev.7183,WizardLM/WizardLM-13B-V1.2,0.25,0.0001353,0.25,9.44e-05,0.25,0.0001353,0.25,0.000282,0.25,0.000339888,0.75,0.00779
grade-school-math.dev.2573,mistralai/mixtral-8x7b-chat,0.75,0.0002676,0.25,0.0001122,0.75,0.0001566,0.75,0.0002676,0.25,0.000585104,0.75,0.00777
grade-school-math.dev.2161,WizardLM/WizardLM-13B-V1.2,0.25,0.0001842,0.25,8.16e-05,0.25,0.0001842,0.25,0.0002988,0.25,0.000394984,0.5,0.0106
grade-school-math.dev.6486,WizardLM/WizardLM-13B-V1.2,0.25,0.0001314,0.75,8.44e-05,0.25,0.0001314,0.75,0.0002304,0.75,0.00036084,0.75,0.0095
grade-school-math.dev.915,WizardLM/WizardLM-13B-V1.2,0.25,0.0001706999999999,0.25,6.620000000000001e-05,0.25,0.0001706999999999,0.25,0.000249,0.25,0.000311176,0.25,0.01329
grade-school-math.dev.5638,WizardLM/WizardLM-13B-V1.2,0.75,0.0001356,0.25,5.440000000000001e-05,0.75,0.0001356,0.75,0.0002663999999999,0.5,0.000292552,0.75,0.00724
grade-school-math.dev.3680,mistralai/mixtral-8x7b-chat,0.5,0.0002784,0.5,0.000102,0.25,0.0001977,0.5,0.0002784,0.75,0.00028324,0.75,0.00885
