sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
hellaswag.val.4617,mistralai/mistral-7b-chat,0.0,4.6800000000000006e-05,0.0,4.6800000000000006e-05,0.0,7.02e-05,0.0,0.0001404,0.0,0.000181584,1.0,0.00238
hellaswag.val.2731,mistralai/mistral-7b-chat,0.0,2.72e-05,0.0,2.72e-05,1.0,4.08e-05,1.0,8.159999999999999e-05,0.0,0.000105536,1.0,0.00137
hellaswag.val.9797,WizardLM/WizardLM-13B-V1.2,0.0,7.619999999999998e-05,0.0,5.1000000000000006e-05,0.0,7.619999999999998e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
hellaswag.val.1836,mistralai/mistral-7b-chat,0.0,2.42e-05,0.0,2.42e-05,1.0,3.63e-05,1.0,7.259999999999999e-05,0.0,9.3896e-05,1.0,0.00122
hellaswag.val.2769,mistralai/mistral-7b-chat,1.0,1.86e-05,1.0,1.86e-05,0.0,2.79e-05,1.0,5.58e-05,1.0,7.2168e-05,1.0,0.00097
hellaswag.val.2850,mistralai/mistral-7b-chat,0.0,2.18e-05,0.0,2.18e-05,1.0,3.27e-05,1.0,6.54e-05,0.0,8.4584e-05,1.0,0.0011
hellaswag.val.3051,mistralai/mistral-7b-chat,0.0,1.96e-05,0.0,1.96e-05,0.0,2.94e-05,0.0,5.88e-05,0.0,7.604800000000001e-05,0.0,0.00099
hellaswag.val.5313,mistralai/mixtral-8x7b-chat,0.0,0.0001806,0.0,6.0200000000000006e-05,1.0,9.03e-05,0.0,0.0001806,0.0,0.000233576,1.0,0.00302
hellaswag.val.6662,mistralai/mixtral-8x7b-chat,1.0,0.0001392,1.0,4.64e-05,1.0,6.96e-05,1.0,0.0001392,1.0,0.000180032,1.0,0.00233
hellaswag.val.7889,mistralai/mixtral-8x7b-chat,0.0,0.0001404,0.0,4.6800000000000006e-05,0.0,7.02e-05,0.0,0.0001404,0.0,0.000181584,1.0,0.00238
hellaswag.val.2580,mistralai/mistral-7b-chat,0.0,2.04e-05,0.0,2.04e-05,0.0,3.06e-05,0.0,6.12e-05,0.0,7.9152e-05,1.0,0.00103
hellaswag.val.8841,mistralai/mixtral-8x7b-chat,0.0,0.0001596,0.0,5.3200000000000006e-05,0.0,7.98e-05,0.0,0.0001596,0.0,0.0002064159999999,1.0,0.0027
hellaswag.val.6403,mistralai/mixtral-8x7b-chat,0.0,0.0001578,0.0,5.260000000000001e-05,0.0,7.859999999999999e-05,0.0,0.0001578,0.0,0.000204088,1.0,0.00267
