sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
winogrande.dev.569,gpt-4-1106-preview,1.0,0.00054,1.0,1e-05,0.0,1.5e-05,1.0,3e-05,1.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.43,gpt-4-1106-preview,1.0,0.00064,0.0,1.2e-05,1.0,1.8e-05,0.0,3.6e-05,0.0,4.656e-05,1.0,0.00064
winogrande.dev.171,gpt-4-1106-preview,1.0,0.00061,0.0,1.14e-05,1.0,1.7100000000000002e-05,0.0,3.4200000000000005e-05,0.0,4.4232e-05,1.0,0.00061
winogrande.dev.229,gpt-4-1106-preview,1.0,0.00049,0.0,8.999999999999999e-06,1.0,1.35e-05,0.0,2.7e-05,0.0,3.4920000000000004e-05,1.0,0.00049
winogrande.dev.1064,gpt-4-1106-preview,0.0,0.00046,1.0,8.999999999999999e-06,1.0,1.35e-05,1.0,2.7e-05,1.0,3.4920000000000004e-05,0.0,0.00046
winogrande.dev.377,gpt-4-1106-preview,1.0,0.00049,0.0,9.6e-06,1.0,1.4399999999999998e-05,0.0,2.8799999999999995e-05,0.0,3.7248e-05,1.0,0.00049
winogrande.dev.1029,gpt-4-1106-preview,1.0,0.00051,0.0,9.4e-06,1.0,1.41e-05,0.0,2.82e-05,0.0,3.6472000000000006e-05,1.0,0.00051
winogrande.dev.485,gpt-4-1106-preview,1.0,0.00058,0.0,1.08e-05,0.0,1.62e-05,0.0,3.24e-05,0.0,4.1904e-05,1.0,0.00058
winogrande.dev.646,gpt-4-1106-preview,1.0,0.00053,0.0,1.04e-05,1.0,1.56e-05,0.0,3.06e-05,0.0,4.0352e-05,1.0,0.00053
winogrande.dev.1092,gpt-4-1106-preview,0.0,0.00064,1.0,1.2e-05,0.0,1.77e-05,1.0,3.6e-05,0.0,4.5784e-05,0.0,0.00064
winogrande.dev.533,gpt-4-1106-preview,1.0,0.0005899999999999,0.0,1.16e-05,1.0,1.7400000000000003e-05,0.0,3.4800000000000006e-05,0.0,4.500800000000001e-05,1.0,0.0005899999999999
winogrande.dev.1169,gpt-4-1106-preview,1.0,0.00051,0.0,1e-05,1.0,1.5e-05,1.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00051
winogrande.dev.599,gpt-4-1106-preview,0.0,0.00056,0.0,1.04e-05,1.0,1.56e-05,0.0,3.12e-05,0.0,4.0352e-05,0.0,0.00056
winogrande.dev.540,gpt-4-1106-preview,1.0,0.00053,1.0,9.8e-06,0.0,1.4699999999999998e-05,0.0,2.94e-05,1.0,3.8024e-05,1.0,0.00053
winogrande.dev.633,gpt-4-1106-preview,0.0,0.00053,1.0,9.8e-06,0.0,1.4699999999999998e-05,0.0,2.94e-05,1.0,3.8024e-05,0.0,0.00053
winogrande.dev.1136,gpt-4-1106-preview,1.0,0.0005,1.0,9.2e-06,0.0,1.3799999999999998e-05,1.0,2.76e-05,1.0,3.5696e-05,1.0,0.0005
winogrande.dev.897,gpt-4-1106-preview,1.0,0.00058,0.0,1.14e-05,1.0,1.7100000000000002e-05,1.0,3.4200000000000005e-05,0.0,4.4232e-05,1.0,0.00058
winogrande.dev.408,gpt-4-1106-preview,1.0,0.00054,0.0,1e-05,0.0,1.5e-05,0.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.224,gpt-4-1106-preview,1.0,0.00056,1.0,1.04e-05,0.0,1.56e-05,0.0,3.12e-05,1.0,4.0352e-05,1.0,0.00056
winogrande.dev.1101,gpt-4-1106-preview,1.0,0.0006,1.0,1.12e-05,1.0,1.6800000000000002e-05,1.0,3.3600000000000004e-05,1.0,4.3456000000000005e-05,1.0,0.0006
winogrande.dev.1081,mistralai/mixtral-8x7b-chat,1.0,3.3e-05,0.0,1.1e-05,1.0,1.65e-05,1.0,3.3e-05,0.0,4.2680000000000005e-05,1.0,0.00056
winogrande.dev.797,gpt-4-1106-preview,1.0,0.00053,0.0,9.8e-06,0.0,1.4699999999999998e-05,0.0,2.94e-05,0.0,3.8024e-05,1.0,0.00053
winogrande.dev.925,gpt-4-1106-preview,1.0,0.00051,0.0,1e-05,0.0,1.47e-05,0.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00051
winogrande.dev.975,gpt-4-1106-preview,1.0,0.00054,0.0,1e-05,0.0,1.5e-05,0.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.1074,gpt-4-1106-preview,0.0,0.00058,0.0,1.08e-05,0.0,1.62e-05,0.0,3.24e-05,0.0,4.1904e-05,0.0,0.00058
winogrande.dev.148,gpt-4-1106-preview,0.0,0.0005,1.0,9.8e-06,0.0,1.4699999999999998e-05,1.0,2.94e-05,1.0,3.8024e-05,0.0,0.0005
winogrande.dev.608,gpt-4-1106-preview,1.0,0.00053,0.0,1.04e-05,0.0,1.56e-05,1.0,3.12e-05,0.0,4.0352e-05,1.0,0.00053
winogrande.dev.670,gpt-4-1106-preview,1.0,0.00058,1.0,1.08e-05,1.0,1.62e-05,1.0,3.24e-05,0.0,4.1128e-05,1.0,0.00058
winogrande.dev.257,mistralai/mistral-7b-chat,0.0,1.22e-05,0.0,1.22e-05,0.0,1.8e-05,0.0,3.66e-05,0.0,4.7336e-05,1.0,0.00065
winogrande.dev.341,gpt-4-1106-preview,1.0,0.00055,1.0,1.02e-05,1.0,1.53e-05,1.0,3.06e-05,1.0,3.9576e-05,1.0,0.00055
winogrande.dev.571,gpt-4-1106-preview,0.0,0.0005,0.0,9.8e-06,0.0,1.4699999999999998e-05,0.0,2.94e-05,0.0,3.8024e-05,0.0,0.0005
winogrande.dev.35,gpt-4-1106-preview,1.0,0.0005499999999999,1.0,1.08e-05,1.0,1.62e-05,1.0,3.24e-05,1.0,4.1904e-05,1.0,0.0005499999999999
winogrande.dev.518,gpt-4-1106-preview,1.0,0.00054,0.0,1.06e-05,1.0,1.59e-05,1.0,3.18e-05,0.0,4.1128e-05,1.0,0.00054
winogrande.dev.594,gpt-4-1106-preview,0.0,0.00057,1.0,1.06e-05,0.0,1.59e-05,1.0,3.18e-05,0.0,4.0352e-05,0.0,0.00057
winogrande.dev.232,gpt-4-1106-preview,1.0,0.00055,1.0,1.02e-05,0.0,1.53e-05,0.0,3.06e-05,1.0,3.9576e-05,1.0,0.00055
winogrande.dev.179,gpt-4-1106-preview,1.0,0.0005,1.0,9.8e-06,1.0,1.4699999999999998e-05,1.0,2.94e-05,1.0,3.8024e-05,1.0,0.0005
winogrande.dev.176,meta/code-llama-instruct-34b-chat,1.0,3.6472000000000006e-05,1.0,9.4e-06,1.0,1.41e-05,1.0,2.82e-05,1.0,3.6472000000000006e-05,1.0,0.00048
winogrande.dev.479,gpt-4-1106-preview,1.0,0.00047,0.0,9.2e-06,1.0,1.3799999999999998e-05,1.0,2.76e-05,0.0,3.5696e-05,1.0,0.00047
winogrande.dev.745,gpt-4-1106-preview,0.0,0.0005499999999999,1.0,1.08e-05,0.0,1.59e-05,1.0,3.24e-05,1.0,4.1904e-05,0.0,0.0005499999999999
winogrande.dev.543,gpt-4-1106-preview,0.0,0.00054,1.0,1e-05,0.0,1.5e-05,1.0,3e-05,1.0,3.880000000000001e-05,0.0,0.00054
winogrande.dev.1151,gpt-4-1106-preview,1.0,0.00054,1.0,1e-05,0.0,1.5e-05,1.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.448,gpt-4-1106-preview,1.0,0.00061,1.0,1.14e-05,1.0,1.7100000000000002e-05,1.0,3.4200000000000005e-05,0.0,4.4232e-05,1.0,0.00061
winogrande.dev.786,gpt-4-1106-preview,1.0,0.00054,1.0,1e-05,1.0,1.5e-05,0.0,3e-05,0.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.55,gpt-4-1106-preview,1.0,0.00056,1.0,1.04e-05,0.0,1.56e-05,1.0,3.12e-05,1.0,4.0352e-05,1.0,0.00056
winogrande.dev.375,gpt-4-1106-preview,1.0,0.0005,1.0,9.2e-06,1.0,1.3799999999999998e-05,1.0,2.76e-05,1.0,3.5696e-05,1.0,0.0005
