sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
winogrande.dev.569,mistralai/mistral-7b-chat,1.0,1e-05,1.0,1e-05,0.0,1.5e-05,1.0,3e-05,1.0,3.880000000000001e-05,1.0,0.00054
winogrande.dev.43,mistralai/mistral-7b-chat,0.0,1.2e-05,0.0,1.2e-05,1.0,1.8e-05,0.0,3.6e-05,0.0,4.656e-05,1.0,0.00064
winogrande.dev.171,mistralai/mistral-7b-chat,0.0,1.14e-05,0.0,1.14e-05,1.0,1.7100000000000002e-05,0.0,3.4200000000000005e-05,0.0,4.4232e-05,1.0,0.00061
winogrande.dev.229,mistralai/mistral-7b-chat,0.0,8.999999999999999e-06,0.0,8.999999999999999e-06,1.0,1.35e-05,0.0,2.7e-05,0.0,3.4920000000000004e-05,1.0,0.00049
winogrande.dev.1064,mistralai/mistral-7b-chat,1.0,8.999999999999999e-06,1.0,8.999999999999999e-06,1.0,1.35e-05,1.0,2.7e-05,1.0,3.4920000000000004e-05,0.0,0.00046
winogrande.dev.377,mistralai/mistral-7b-chat,0.0,9.6e-06,0.0,9.6e-06,1.0,1.4399999999999998e-05,0.0,2.8799999999999995e-05,0.0,3.7248e-05,1.0,0.00049
winogrande.dev.1029,mistralai/mistral-7b-chat,0.0,9.4e-06,0.0,9.4e-06,1.0,1.41e-05,0.0,2.82e-05,0.0,3.6472000000000006e-05,1.0,0.00051
winogrande.dev.485,mistralai/mistral-7b-chat,0.0,1.08e-05,0.0,1.08e-05,0.0,1.62e-05,0.0,3.24e-05,0.0,4.1904e-05,1.0,0.00058
winogrande.dev.646,mistralai/mixtral-8x7b-chat,0.0,3.06e-05,0.0,1.04e-05,1.0,1.56e-05,0.0,3.06e-05,0.0,4.0352e-05,1.0,0.00053
winogrande.dev.1092,mistralai/mistral-7b-chat,1.0,1.2e-05,1.0,1.2e-05,0.0,1.77e-05,1.0,3.6e-05,0.0,4.5784e-05,0.0,0.00064
winogrande.dev.533,mistralai/mistral-7b-chat,0.0,1.16e-05,0.0,1.16e-05,1.0,1.7400000000000003e-05,0.0,3.4800000000000006e-05,0.0,4.500800000000001e-05,1.0,0.0005899999999999
