sample_id,phi_prediction,phi_correctness,phi_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,claude-instant-v1_correctness,claude-instant-v1_cost,claude-v1_correctness,claude-v1_cost,claude-v2_correctness,claude-v2_cost,gpt-3.5-turbo-1106_correctness,gpt-3.5-turbo-1106_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,meta/llama-2-70b-chat_correctness,meta/llama-2-70b-chat_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,zero-one-ai/Yi-34B-Chat_correctness,zero-one-ai/Yi-34B-Chat_cost
hellaswag.val.4102,A),0.0,0.0,1.0,8.13e-05,0.0,0.0002176,1.0,0.002176,1.0,0.002176,0.0,0.0002729999999999,1.0,0.00275,0.0,0.0002102959999999,1.0,0.0002439,1.0,5.420000000000001e-05,1.0,0.0001626,1.0,0.000216
winogrande.dev.802,meta/llama-2-70b-chat,1.0,4.410000000000001e-05,1.0,1.4699999999999998e-05,0.0,4.24e-05,1.0,0.0003999999999999,1.0,0.0003999999999999,0.0,5.1e-05,1.0,0.0005,0.0,3.7248e-05,1.0,4.410000000000001e-05,0.0,9.8e-06,0.0,2.94e-05,1.0,3.84e-05
hellaswag.val.5482,B,0.0,0.0,0.0,6.45e-05,1.0,0.0001728,1.0,0.001728,0.0,0.001752,1.0,0.000217,1.0,0.00216,0.0,0.00016684,0.0,0.0001935,0.0,4.3e-05,0.0,0.000129,1.0,0.0001712
mmlu-professional-law.val.1256,claude-v2,1.0,0.002232,0.0,8.34e-05,0.0,0.0002232,0.0,0.002232,1.0,0.002232,0.0,0.000278,0.0,0.00279,0.0,0.000215728,0.0,0.0002502,0.0,5.56e-05,0.0,0.0001668,0.0,0.0002224
mmlu-elementary-mathematics.val.47,Model C,0.0,0.0,1.0,2.07e-05,0.0,5.6e-05,0.0,0.00056,0.0,0.00056,0.0,7.1e-05,1.0,0.0007,0.0,5.354400000000001e-05,0.0,6.21e-05,1.0,1.38e-05,0.0,4.14e-05,0.0,5.52e-05
mmlu-moral-disputes.val.343,claude-v2,1.0,0.0010479999999999,0.0,3.9e-05,1.0,0.0001048,1.0,0.0010479999999999,1.0,0.0010479999999999,1.0,0.00013,1.0,0.00131,0.0,0.00010088,0.0,0.000117,0.0,2.6e-05,0.0,7.8e-05,1.0,0.0001032
hellaswag.val.5407,Model C,0.0,0.0,0.0,9.3e-05,0.0,0.000252,0.0,0.002496,0.0,0.002496,1.0,0.0003109999999999,1.0,0.00312,0.0,0.000241336,0.0,0.0002799,0.0,6.22e-05,0.0,0.0001866,0.0,0.000248
grade-school-math.dev.2924,meta/llama-2-70b-chat,0.75,0.0003132,0.75,0.0001452,0.75,0.0004696,0.75,0.004312,0.75,0.005056,0.75,0.000448,0.75,0.00839,0.25,0.00030652,0.75,0.0003132,0.75,8.26e-05,0.75,0.0002352,0.75,0.0003352
mmlu-high-school-geography.val.86,meta/llama-2-70b-chat,0.0,9.27e-05,0.0,3.06e-05,1.0,8.320000000000002e-05,1.0,0.000832,1.0,0.000832,1.0,0.000105,1.0,0.00104,0.0,7.992800000000001e-05,0.0,9.27e-05,0.0,2.0600000000000003e-05,1.0,6.18e-05,1.0,8.160000000000002e-05
winogrande.dev.486,meta/llama-2-70b-chat,1.0,4.32e-05,1.0,1.4399999999999998e-05,1.0,3.92e-05,1.0,0.000392,1.0,0.000392,0.0,5e-05,1.0,0.00052,0.0,3.7248e-05,1.0,4.32e-05,0.0,9.6e-06,0.0,2.8799999999999995e-05,0.0,3.7600000000000006e-05
grade-school-math.dev.7113,meta/llama-2-70b-chat,0.25,0.0006156,0.25,0.0001841999999999,0.25,0.000876,0.75,0.00552,0.75,0.006744,0.5,0.000543,0.5,0.00927,0.25,0.0003298,0.25,0.0006156,0.25,0.00013,0.25,0.000303,0.75,0.0005552
grade-school-math.dev.1433,meta/llama-2-70b-chat,0.75,0.0003528,0.75,0.0001695,0.75,0.0005463999999999,0.75,0.005704,0.75,0.0061119999999999,0.75,0.000539,0.5,0.00671,0.25,0.000227368,0.75,0.0003528,0.25,8.460000000000001e-05,0.25,0.0002718,0.75,0.0004
arc-challenge.test.264,Model C,0.0,0.0,0.0,2.4e-05,0.0,6.480000000000002e-05,1.0,0.000648,1.0,0.000648,1.0,8.2e-05,1.0,0.00081,0.0,6.208e-05,0.0,7.2e-05,0.0,1.6000000000000003e-05,0.0,4.8e-05,1.0,6.320000000000002e-05
hellaswag.val.6367,claude-v2,0.0,0.002096,0.0,7.83e-05,0.0,0.0002096,0.0,0.002096,0.0,0.002096,0.0,0.000263,0.0,0.00265,0.0,0.000202536,0.0,0.000234,0.0,5.220000000000001e-05,0.0,0.0001566,1.0,0.000208
