sample_id,phi_prediction,phi_correctness,phi_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,claude-instant-v1_correctness,claude-instant-v1_cost,claude-v1_correctness,claude-v1_cost,claude-v2_correctness,claude-v2_cost,gpt-3.5-turbo-1106_correctness,gpt-3.5-turbo-1106_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,meta/llama-2-70b-chat_correctness,meta/llama-2-70b-chat_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,zero-one-ai/Yi-34B-Chat_correctness,zero-one-ai/Yi-34B-Chat_cost
mmlu-high-school-macroeconomics.val.127,meta/llama-2-70b-chat,0.0,7.56e-05,0.0,2.52e-05,1.0,6.800000000000001e-05,1.0,0.00068,1.0,0.00068,1.0,8.4e-05,1.0,0.00085,0.0,6.5184e-05,0.0,7.56e-05,0.0,1.6800000000000002e-05,1.0,5.04e-05,1.0,6.720000000000001e-05
mmlu-formal-logic.val.82,meta/code-llama-instruct-34b-chat,0.0,0.00012416,0.0,4.8e-05,1.0,0.0001288,1.0,0.0012879999999999,1.0,0.0012879999999999,0.0,0.0001599999999999,1.0,0.00161,0.0,0.00012416,0.0,0.000144,0.0,3.2000000000000005e-05,0.0,9.6e-05,0.0,0.000128
hellaswag.val.7968,claude-v1,0.0,0.001848,0.0,6.9e-05,0.0,0.0001848,0.0,0.001848,0.0,0.001848,1.0,0.000232,1.0,0.00234,0.0,0.0001784799999999,0.0,0.0002061,0.0,4.600000000000001e-05,0.0,0.000138,1.0,0.0001832
grade-school-math.dev.4037,claude-v1,0.25,0.00428,0.75,0.0001311,0.0,0.0005072,0.25,0.00428,0.25,0.0045439999999999,0.25,0.000429,0.75,0.0053799999999999,0.75,0.000241336,0.75,0.0002808,0.25,6.64e-05,0.75,0.0002219999999999,0.25,0.00022
mmlu-global-facts.val.6,meta/llama-2-70b-chat,0.0,7.290000000000001e-05,1.0,2.43e-05,0.0,6.560000000000001e-05,0.0,0.000656,0.0,0.000656,0.0,8.099999999999999e-05,0.0,0.00085,0.0,6.285600000000001e-05,0.0,7.290000000000001e-05,0.0,1.62e-05,1.0,4.86e-05,0.0,6.400000000000001e-05
grade-school-math.dev.1409,gpt-4-1106-preview,0.75,0.00679,0.75,0.0001437,0.75,0.0004856,0.75,0.004112,0.75,0.004712,0.75,0.000407,0.75,0.00679,0.75,0.000311176,0.75,0.0003546,0.75,8.68e-05,0.75,0.0002274,0.75,0.0003872
mmlu-high-school-microeconomics.val.133,gpt-4-1106-preview,1.0,0.00077,1.0,2.19e-05,1.0,5.92e-05,1.0,0.000592,1.0,0.000592,1.0,7.3e-05,1.0,0.00077,0.0,5.6648e-05,0.0,6.57e-05,0.0,1.46e-05,1.0,4.38e-05,1.0,5.84e-05
grade-school-math.dev.3926,claude-v2,0.75,0.00456,0.75,0.0001368,0.75,0.000384,0.5,0.002184,0.75,0.00456,0.75,0.000394,0.5,0.0051,0.75,0.000265392,0.75,0.0003564,0.25,7.28e-05,0.25,0.0002058,0.5,0.0002223999999999
mmlu-moral-scenarios.val.389,claude-v1,1.0,0.0011439999999999,1.0,4.26e-05,0.0,0.0001144,1.0,0.0011439999999999,1.0,0.0011439999999999,0.0,0.0001419999999999,1.0,0.00146,0.0,0.000110192,0.0,0.0001278,0.0,2.84e-05,1.0,8.52e-05,1.0,0.0001128
hellaswag.val.3378,claude-v1,1.0,0.002296,0.0,8.58e-05,0.0,0.0002296,1.0,0.002296,1.0,0.002296,1.0,0.000288,1.0,0.00287,0.0,0.000221936,0.0,0.0002573999999999,0.0,5.720000000000001e-05,0.0,0.0001709999999999,1.0,0.000228
winogrande.dev.647,claude-v1,0.0,0.000384,1.0,1.41e-05,1.0,3.84e-05,0.0,0.000384,1.0,0.000384,0.0,4.9000000000000005e-05,1.0,0.00051,0.0,3.6472000000000006e-05,1.0,4.2300000000000005e-05,0.0,9.4e-06,0.0,2.82e-05,0.0,3.76e-05
mmlu-security-studies.val.180,gpt-4-1106-preview,0.0,0.00307,0.0,9.18e-05,0.0,0.0002456,1.0,0.002456,1.0,0.002456,0.0,0.000306,0.0,0.00307,0.0,0.0002374559999999,0.0,0.0002754,0.0,6.120000000000001e-05,1.0,0.0001836,1.0,0.0002448
arc-challenge.test.959,meta/llama-2-70b-chat,1.0,5.67e-05,1.0,1.89e-05,1.0,5.12e-05,1.0,0.000512,1.0,0.000512,1.0,6.5e-05,1.0,0.00067,0.0,4.8888e-05,1.0,5.67e-05,1.0,1.26e-05,1.0,3.78e-05,1.0,4.9600000000000006e-05
mmlu-professional-law.val.558,gpt-4-1106-preview,1.0,0.00467,0.0,0.0001397999999999,0.0,0.0003736,0.0,0.003736,0.0,0.003736,0.0,0.000466,1.0,0.00467,0.0,0.000361616,0.0,0.0004194,0.0,9.32e-05,0.0,0.0002795999999999,0.0,0.000372
mmlu-high-school-psychology.val.109,gpt-4-1106-preview,1.0,0.00078,0.0,2.31e-05,1.0,6.24e-05,1.0,0.000624,1.0,0.000624,1.0,7.699999999999999e-05,1.0,0.00078,0.0,5.9752000000000007e-05,0.0,6.93e-05,0.0,1.54e-05,1.0,4.6200000000000005e-05,1.0,6.08e-05
grade-school-math.dev.5826,gpt-4-1106-preview,0.75,0.00784,0.75,0.0001518,0.75,0.0005816,0.75,0.0057199999999999,0.5,0.006416,0.75,0.000512,0.75,0.00784,0.25,0.000255304,0.75,0.000414,0.25,8.420000000000001e-05,0.25,0.0002556,0.5,0.000328
mmlu-high-school-psychology.val.206,gpt-4-1106-preview,1.0,0.00092,1.0,2.64e-05,1.0,7.12e-05,1.0,0.000712,1.0,0.000712,1.0,8.8e-05,1.0,0.00092,0.0,6.828800000000001e-05,0.0,7.920000000000001e-05,0.0,1.7599999999999998e-05,1.0,5.28e-05,1.0,6.96e-05
mmlu-professional-law.val.763,claude-v1,1.0,0.0017519999999999,1.0,6.54e-05,1.0,0.0001752,1.0,0.0017519999999999,1.0,0.0017519999999999,1.0,0.0002179999999999,1.0,0.00219,0.0,0.000169168,0.0,0.0001962,0.0,4.36e-05,1.0,0.0001308,1.0,0.0001736
hellaswag.val.6880,claude-v1,0.0,0.0022,0.0,8.219999999999999e-05,0.0,0.0002224,0.0,0.0022,1.0,0.0022,0.0,0.000276,1.0,0.00278,0.0,0.000212624,0.0,0.0002466,0.0,5.480000000000001e-05,0.0,0.0001643999999999,1.0,0.0002184
hellaswag.val.6222,claude-v1,0.0,0.002176,0.0,8.099999999999999e-05,0.0,0.0002176,0.0,0.002176,1.0,0.002176,0.0,0.0002729999999999,0.0,0.00275,0.0,0.0002102959999999,0.0,0.000243,0.0,5.420000000000001e-05,0.0,0.0001626,1.0,0.000216
mmlu-high-school-microeconomics.val.49,WizardLM/WizardLM-13B-V1.2,1.0,3.21e-05,1.0,3.21e-05,1.0,8.64e-05,1.0,0.000864,1.0,0.000864,1.0,0.000107,1.0,0.00108,0.0,8.3032e-05,0.0,9.63e-05,1.0,2.14e-05,1.0,6.42e-05,1.0,8.56e-05
arc-challenge.test.59,WizardLM/WizardLM-13B-V1.2,1.0,2.3400000000000003e-05,1.0,2.3400000000000003e-05,1.0,6.32e-05,1.0,0.000632,1.0,0.000632,1.0,8e-05,1.0,0.00082,0.0,6.0528e-05,1.0,7.020000000000001e-05,1.0,1.5600000000000003e-05,1.0,4.6800000000000006e-05,1.0,6.16e-05
mmlu-high-school-psychology.val.532,meta/llama-2-70b-chat,0.0,7.65e-05,1.0,2.55e-05,1.0,6.88e-05,1.0,0.000688,1.0,0.000688,0.0,8.499999999999999e-05,1.0,0.00086,0.0,6.596e-05,0.0,7.65e-05,0.0,1.7e-05,0.0,5.1e-05,1.0,6.720000000000001e-05
mmlu-electrical-engineering.val.72,gpt-4-1106-preview,1.0,0.0007599999999999,0.0,2.25e-05,0.0,6.08e-05,1.0,0.000608,1.0,0.000608,0.0,7.5e-05,1.0,0.0007599999999999,0.0,5.8200000000000005e-05,0.0,6.75e-05,0.0,1.5e-05,1.0,4.5e-05,0.0,6e-05
arc-challenge.val.125,meta/llama-2-70b-chat,1.0,5.8500000000000006e-05,0.0,1.95e-05,1.0,5.28e-05,1.0,0.000528,1.0,0.000528,1.0,6.7e-05,1.0,0.00069,0.0,5.044e-05,1.0,5.8500000000000006e-05,0.0,1.3e-05,1.0,3.9e-05,1.0,5.12e-05
mmlu-professional-psychology.val.581,meta/llama-2-70b-chat,0.0,0.0001017,0.0,3.39e-05,1.0,9.120000000000002e-05,1.0,0.000912,1.0,0.000912,1.0,0.000113,1.0,0.00114,0.0,8.768799999999999e-05,0.0,0.0001017,0.0,2.2600000000000004e-05,0.0,6.78e-05,0.0,8.960000000000002e-05
hellaswag.val.9534,claude-v1,1.0,0.001896,1.0,7.08e-05,1.0,0.0001896,1.0,0.001896,1.0,0.001896,1.0,0.0002379999999999,1.0,0.00237,0.0,0.000183136,1.0,0.0002115,0.0,4.720000000000001e-05,0.0,0.0001416,1.0,0.000188
mmlu-human-aging.val.140,meta/llama-2-70b-chat,0.0,8.01e-05,1.0,2.67e-05,1.0,7.200000000000002e-05,1.0,0.00072,1.0,0.00072,1.0,8.9e-05,1.0,0.0009,0.0,6.9064e-05,0.0,8.01e-05,0.0,1.7800000000000002e-05,1.0,5.34e-05,1.0,7.040000000000002e-05
grade-school-math.dev.3972,gpt-4-1106-preview,0.5,0.00593,0.5,0.0001392,0.75,0.0003952,0.75,0.00472,0.5,0.004912,0.5,0.00041,0.5,0.00593,0.25,0.000303416,0.5,0.0003429,0.5,7.840000000000001e-05,0.5,0.0002766,0.75,0.000324
mmlu-professional-law.val.1172,meta/llama-2-70b-chat,0.0,6.840000000000001e-05,0.0,2.28e-05,1.0,6.16e-05,1.0,0.000616,1.0,0.000616,1.0,7.599999999999999e-05,1.0,0.00077,0.0,5.8976e-05,0.0,6.840000000000001e-05,0.0,1.52e-05,0.0,4.56e-05,0.0,6e-05
grade-school-math.dev.1844,meta/llama-2-70b-chat,0.25,0.0003429,0.75,0.0001305,0.75,0.000488,0.75,0.0042559999999999,0.75,0.005216,0.75,0.000452,0.75,0.00673,0.25,0.000285568,0.25,0.0003429,0.25,7.56e-05,0.75,0.0002219999999999,0.25,0.0002312
hellaswag.val.2702,claude-v1,1.0,0.000912,0.0,3.39e-05,1.0,9.120000000000002e-05,1.0,0.000912,0.0,0.000912,1.0,0.000115,1.0,0.00114,1.0,8.768799999999999e-05,0.0,0.0001008,1.0,2.2600000000000004e-05,1.0,6.78e-05,0.0,8.960000000000002e-05
grade-school-math.dev.6893,gpt-4-1106-preview,0.75,0.0066599999999999,0.75,0.0001413,0.75,0.0005136,0.75,0.0042,0.75,0.004392,0.75,0.000567,0.75,0.0066599999999999,0.75,0.000334456,0.75,0.0003519,0.25,5.58e-05,0.25,0.000195,0.75,0.0003064
hellaswag.val.2730,meta/llama-2-70b-chat,1.0,0.0001278,1.0,4.29e-05,1.0,0.0001152,0.0,0.001152,1.0,0.001152,1.0,0.000145,1.0,0.00144,0.0,0.000110968,1.0,0.0001278,0.0,2.8600000000000004e-05,0.0,8.58e-05,1.0,0.0001136
grade-school-math.dev.4709,gpt-4-1106-preview,0.5,0.00734,0.75,0.0001305,0.5,0.000532,0.75,0.004264,0.5,0.005416,0.75,0.000461,0.5,0.00734,0.75,0.000291,0.5,0.0003627,0.25,8.280000000000001e-05,0.75,0.0002387999999999,0.5,0.0003512
