sample_id,phi_prediction,phi_response,oracle_model_to_route
mmlu-professional-law.val.1247,WizardLM/WizardLM-13B-V1.2,B) WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2
mmlu-international-law.val.89,WizardLM/WizardLM-13B-V1.2,D) WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2
hellaswag.val.4617,WizardLM/WizardLM-13B-V1.2,C,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.5357,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,meta/llama-2-70b-chat
hellaswag.val.2731,WizardLM/WizardLM-13B-V1.2,C) meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.9797,WizardLM/WizardLM-13B-V1.2,D,zero-one-ai/Yi-34B-Chat
mmlu-professional-law.val.570,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,zero-one-ai/Yi-34B-Chat
hellaswag.val.1836,meta/code-llama-instruct-34b-chat,"B) lifts up a weight above his head and drops it, then a boy enters lifting it above his neck.

Explanation: This model seems to be more suited for a prompt involving physical actions and sequences, which",WizardLM/WizardLM-13B-V1.2
hellaswag.val.2769,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat,mistralai/mistral-7b-chat
mmlu-professional-law.val.485,WizardLM/WizardLM-13B-V1.2,"B) valid, because the President has the authority to ensure that laws are faithfully executed.",claude-instant-v1
hellaswag.val.2850,mistralai/mistral-7b-chat,D) meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
mmlu-business-ethics.val.54,WizardLM/WizardLM-13B-V1.2,B,WizardLM/WizardLM-13B-V1.2
bias_detection.dev.265,mistralai/mistral-7b-chat,"mistralai/mistral-7b-chat

Reasoning: This prompt requires understanding of different types of textual content and their classification. The mistralai/mistral-7b-chat model is a large",no_model_correct
consensus_summary.dev.5,mistralai/mistral-7b-chat,Model C,claude-v1
hellaswag.val.3051,WizardLM/WizardLM-13B-V1.2,D) meta/code-llama-instruct-34b-chat,meta/llama-2-70b-chat
hellaswag.val.5313,WizardLM/WizardLM-13B-V1.2,C,WizardLM/WizardLM-13B-V1.2
mmlu-miscellaneous.val.737,WizardLM/WizardLM-13B-V1.2,B,WizardLM/WizardLM-13B-V1.2
grade-school-math.dev.3702,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,zero-one-ai/Yi-34B-Chat
hellaswag.val.6662,WizardLM/WizardLM-13B-V1.2,A,mistralai/mistral-7b-chat
grade-school-math.dev.5353,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat
grade-school-math.dev.7313,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat
mmlu-high-school-biology.val.90,WizardLM/WizardLM-13B-V1.2,C,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.73,WizardLM/WizardLM-13B-V1.2,C,mistralai/mixtral-8x7b-chat
mmlu-business-ethics.val.77,meta/code-llama-instruct-34b-chat,"C) Human rights

Explanation: The prompt asks for a choice related to the UN Global Compact principles, which are focused on areas like labor, anti-corruption, and human rights. Commercial performance (B) is",WizardLM/WizardLM-13B-V1.2
hellaswag.val.7889,mistralai/mistral-7b-chat,C,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.715,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,mistralai/mistral-7b-chat
mmlu-jurisprudence.val.67,WizardLM/WizardLM-13B-V1.2,B,mistralai/mistral-7b-chat
hellaswag.val.2580,mistralai/mistral-7b-chat,C,gpt-4-1106-preview
grade-school-math.dev.5091,WizardLM/WizardLM-13B-V1.2,WizardLM/WizardLM-13B-V1.2,mistralai/mistral-7b-chat
grade-school-math.dev.7398,meta/code-llama-instruct-34b-chat,Model C,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8841,WizardLM/WizardLM-13B-V1.2,C,zero-one-ai/Yi-34B-Chat
mmlu-college-mathematics.val.52,mistralai/mistral-7b-chat,B) WizardLM/WizardLM-13B-V1.2,mistralai/mixtral-8x7b-chat
mmlu-professional-law.val.1513,meta/code-llama-instruct-34b-chat,D) meta/code-llama-instruct-34b-chat,no_model_correct
hellaswag.val.6403,WizardLM/WizardLM-13B-V1.2,D,zero-one-ai/Yi-34B-Chat
grade-school-math.dev.1515,meta/code-llama-instruct-34b-chat,meta/code-llama-instruct-34b-chat,WizardLM/WizardLM-13B-V1.2
hellaswag.val.8810,WizardLM/WizardLM-13B-V1.2,A,mistralai/mistral-7b-chat
mmlu-professional-law.val.1365,WizardLM/WizardLM-13B-V1.2,C,mistralai/mistral-7b-chat
hellaswag.val.9743,WizardLM/WizardLM-13B-V1.2,B,mistralai/mistral-7b-chat
