sample_id,phi_prediction,phi_correctness,phi_cost,mistralai/mistral-7b-chat_correctness,mistralai/mistral-7b-chat_cost,WizardLM/WizardLM-13B-V1.2_correctness,WizardLM/WizardLM-13B-V1.2_cost,mistralai/mixtral-8x7b-chat_correctness,mistralai/mixtral-8x7b-chat_cost,meta/code-llama-instruct-34b-chat_correctness,meta/code-llama-instruct-34b-chat_cost,gpt-4-1106-preview_correctness,gpt-4-1106-preview_cost
mmlu-professional-law.val.1247,meta/code-llama-instruct-34b-chat,0.0,0.000457064,0.0,0.0001178,1.0,0.0001766999999999,0.0,0.0003533999999999,0.0,0.000457064,1.0,0.0059
mmlu-international-law.val.89,gpt-4-1106-preview,1.0,0.00122,0.0,2.42e-05,1.0,3.63e-05,1.0,7.259999999999999e-05,0.0,9.3896e-05,1.0,0.00122
hellaswag.val.4617,mistralai/mistral-7b-chat,0.0,4.6800000000000006e-05,0.0,4.6800000000000006e-05,0.0,7.02e-05,0.0,0.0001404,0.0,0.000181584,1.0,0.00238
grade-school-math.dev.5357,gpt-4-1106-preview,0.5,0.00626,0.25,8.68e-05,0.25,0.0001317,0.25,0.0002526,0.5,0.00030652,0.5,0.00626
hellaswag.val.2731,mistralai/mistral-7b-chat,0.0,2.72e-05,0.0,2.72e-05,1.0,4.08e-05,1.0,8.159999999999999e-05,0.0,0.000105536,1.0,0.00137
hellaswag.val.9797,mistralai/mistral-7b-chat,0.0,5.1000000000000006e-05,0.0,5.1000000000000006e-05,0.0,7.619999999999998e-05,0.0,0.0001529999999999,0.0,0.00019788,1.0,0.00256
mmlu-professional-law.val.570,mistralai/mistral-7b-chat,0.0,6.36e-05,0.0,6.36e-05,0.0,9.54e-05,0.0,0.0001908,0.0,0.000246768,1.0,0.00319
hellaswag.val.1836,mistralai/mistral-7b-chat,0.0,2.42e-05,0.0,2.42e-05,1.0,3.63e-05,1.0,7.259999999999999e-05,0.0,9.3896e-05,1.0,0.00122
hellaswag.val.2769,mistralai/mistral-7b-chat,1.0,1.86e-05,1.0,1.86e-05,0.0,2.79e-05,1.0,5.58e-05,1.0,7.2168e-05,1.0,0.00097
mmlu-professional-law.val.485,meta/code-llama-instruct-34b-chat,0.0,0.00014356,0.0,3.7000000000000005e-05,0.0,5.55e-05,0.0,0.000111,0.0,0.00014356,1.0,0.00186
hellaswag.val.2850,mistralai/mistral-7b-chat,0.0,2.18e-05,0.0,2.18e-05,1.0,3.27e-05,1.0,6.54e-05,0.0,8.4584e-05,1.0,0.0011
mmlu-business-ethics.val.54,mistralai/mistral-7b-chat,0.0,2.42e-05,0.0,2.42e-05,1.0,3.63e-05,1.0,7.259999999999999e-05,0.0,9.3896e-05,0.0,0.00122
bias_detection.dev.265,mistralai/mistral-7b-chat,0.0,6.54e-05,0.0,6.54e-05,0.0,0.0001085999999999,0.0,0.0001817999999999,0.0,0.000270048,0.0,0.01179
consensus_summary.dev.5,meta/code-llama-instruct-34b-chat,0.75,0.000335232,0.75,8.740000000000001e-05,0.75,0.0002274,0.75,0.0002136,0.75,0.000335232,0.75,0.00886
hellaswag.val.3051,mistralai/mistral-7b-chat,0.0,1.96e-05,0.0,1.96e-05,0.0,2.94e-05,0.0,5.88e-05,0.0,7.604800000000001e-05,0.0,0.00099
hellaswag.val.5313,mistralai/mistral-7b-chat,0.0,6.0200000000000006e-05,0.0,6.0200000000000006e-05,1.0,9.03e-05,0.0,0.0001806,0.0,0.000233576,1.0,0.00302
mmlu-miscellaneous.val.737,mistralai/mistral-7b-chat,0.0,1.42e-05,0.0,1.42e-05,1.0,2.13e-05,1.0,4.26e-05,0.0,5.5096e-05,1.0,0.0007199999999999
